contrast,estimate,SE,df,t.ratio,p.value
VER A200 A_Wet - ANT C1200 B_Dry,-0.10272381969167395,NA,1051,NA,NA
VER A200 A_Wet - CN1 C1200 B_Dry,-0.07980260572200541,NA,1051,NA,NA
VER A200 A_Wet - VER C1200 B_Dry,-0.021174223681743043,NA,1051,NA,NA
VER A200 A_Wet - ALL D1700 B_Dry,-0.023869116034379967,NA,1051,NA,NA
VER A200 A_Wet - ANT D1700 B_Dry,-0.0502253632558598,NA,1051,NA,NA
VER A200 A_Wet - CN1 D1700 B_Dry,-0.06715010273963191,NA,1051,NA,NA
VER A200 A_Wet - VER D1700 B_Dry,-0.010404445794334118,NA,1051,NA,NA
VER A200 A_Wet - ALL E2200 B_Dry,-0.06844520642447073,NA,1051,NA,NA
VER A200 A_Wet - ANT E2200 B_Dry,-0.10707056330256418,NA,1051,NA,NA
VER A200 A_Wet - CN1 E2200 B_Dry,-0.13851814194007403,NA,1051,NA,NA
VER A200 A_Wet - VER E2200 B_Dry,-0.15753667828012416,NA,1051,NA,NA
VER A200 A_Wet - ALL F2700 B_Dry,-0.019640902674993323,NA,1051,NA,NA
VER A200 A_Wet - ANT F2700 B_Dry,-0.10875750133664219,NA,1051,NA,NA
VER A200 A_Wet - CN1 F2700 B_Dry,-0.07108928183206216,NA,1051,NA,NA
VER A200 A_Wet - VER F2700 B_Dry,-0.027473726026476034,NA,1051,NA,NA
VER A200 A_Wet - ALL G3200 B_Dry,0.1797437212962844,NA,1051,NA,NA
VER A200 A_Wet - ANT G3200 B_Dry,-0.8614205179589512,NA,1051,NA,NA
VER A200 A_Wet - CN1 G3200 B_Dry,-0.2091811027679372,NA,1051,NA,NA
VER A200 A_Wet - VER G3200 B_Dry,-0.1772880868361203,NA,1051,NA,NA
VER A200 A_Wet - ALL H3700 B_Dry,0.16149129643622412,NA,1051,NA,NA
VER A200 A_Wet - ANT H3700 B_Dry,-0.8796729428190115,NA,1051,NA,NA
VER A200 A_Wet - CN1 H3700 B_Dry,-0.2501956850002606,NA,1051,NA,NA
VER A200 A_Wet - VER H3700 B_Dry,-0.17757360176432158,NA,1051,NA,NA
ALL B700 A_Wet - ANT B700 A_Wet,-0.03119852576720005,NA,1051,NA,NA
ALL B700 A_Wet - CN1 B700 A_Wet,-0.02542185100840074,NA,1051,NA,NA
ALL B700 A_Wet - VER B700 A_Wet,0.01302766955603114,NA,1051,NA,NA
ALL B700 A_Wet - ALL C1200 A_Wet,0.0041288974564486665,NA,1051,NA,NA
ALL B700 A_Wet - ANT C1200 A_Wet,-0.08402167575448224,NA,1051,NA,NA
ALL B700 A_Wet - CN1 C1200 A_Wet,-0.06110046178481371,NA,1051,NA,NA
ALL B700 A_Wet - VER C1200 A_Wet,-0.002472079744551341,NA,1051,NA,NA
ALL B700 A_Wet - ALL D1700 A_Wet,-0.015561314038463336,NA,1051,NA,NA
ALL B700 A_Wet - ANT D1700 A_Wet,-0.04191756125994317,NA,1051,NA,NA
ALL B700 A_Wet - CN1 D1700 A_Wet,-0.05884230074371529,NA,1051,NA,NA
ALL B700 A_Wet - VER D1700 A_Wet,-0.002096643798417487,NA,1051,NA,NA
ALL B700 A_Wet - ALL E2200 A_Wet,-0.011629165247987218,NA,1051,NA,NA
ALL B700 A_Wet - ANT E2200 A_Wet,-0.050254522126080656,NA,1051,NA,NA
ALL B700 A_Wet - CN1 E2200 A_Wet,-0.08170210076359052,NA,1051,NA,NA
ALL B700 A_Wet - VER E2200 A_Wet,-0.10072063710364064,NA,1051,NA,NA
ALL B700 A_Wet - ALL F2700 A_Wet,-0.002475488988527959,NA,1051,NA,NA
ALL B700 A_Wet - ANT F2700 A_Wet,-0.09159208765017683,NA,1051,NA,NA
ALL B700 A_Wet - CN1 F2700 A_Wet,-0.0539238681455968,NA,1051,NA,NA
ALL B700 A_Wet - VER F2700 A_Wet,-0.01030831234001067,NA,1051,NA,NA
ALL B700 A_Wet - ALL G3200 A_Wet,0.34336677732735366,NA,1051,NA,NA
ALL B700 A_Wet - ANT G3200 A_Wet,-0.6977974619278821,NA,1051,NA,NA
ALL B700 A_Wet - CN1 G3200 A_Wet,-0.045558046736867974,NA,1051,NA,NA
ALL B700 A_Wet - VER G3200 A_Wet,-0.013665030805051083,NA,1051,NA,NA
ALL B700 A_Wet - ALL H3700 A_Wet,0.33857152988696537,NA,1051,NA,NA
ALL B700 A_Wet - ANT H3700 A_Wet,-0.7025927093682703,NA,1051,NA,NA
ALL B700 A_Wet - CN1 H3700 A_Wet,-0.07311545154951943,NA,1051,NA,NA
ALL B700 A_Wet - VER H3700 A_Wet,-4.933683135803571e-4,NA,1051,NA,NA
